sofa_id,name,pos,season,league,country,dom_g,dom_a,dom_tk,dom_cs,dom_sv,dom_rt,league_strength,target_ucl_fantasy_pts
940871,Nico Schlotterbeck,DEF,2425,Bund,Germany,0,4,38,4,0,7.08,18.421,32
940054,Karim Adeyemi,FWD,2425,Bund,Germany,7,6,20,1,0,7.08,18.421,28
895764,Pedro Gonçalves,MID,2425,Portugal,Portugal,5,4,13,2,0,7.43,16.25,9
857574,Andriy Lunin,GK,2425,LaLiga,Spain,0,1,1,4,13,7.07,23.892,2
16206,Yann Sommer,GK,2425,SerieA,Italy,0,0,0,13,85,7.09,21.875,45
989768,Nuno Mendes,DEF,2425,L1,France,1,3,30,3,0,7.29,17.928,63
990201,Jamie Leweling,MID,2425,Bund,Germany,2,2,16,0,0,6.87,18.421,16
1154605,Désiré Doué,MID,2425,L1,France,6,6,48,1,0,7.32,17.928,40
991011,Jude Bellingham,MID,2425,LaLiga,Spain,9,8,61,4,0,7.45,23.892,33
804508,Viktor Gyökeres,FWD,2425,Portugal,Portugal,39,7,9,12,0,8,16.25,27
1190933,João Neves,MID,2425,L1,France,3,8,63,2,0,7.45,17.928,29
1087364,Tiago Santos,DEF,2425,L1,France,0,0,12,1,0,7.07,17.928,5
331737,Youri Tielemans,MID,2425,PL,England,3,7,84,4,0,7.38,29.464,28
547410,Martin Ødegaard,MID,2425,PL,England,3,8,19,5,0,7.31,29.464,22
836705,Kai Havertz,FWD,2425,PL,England,9,3,16,7,0,7.03,29.464,21
978285,Wilfried Singo,DEF,2425,L1,France,1,2,37,7,0,7.04,17.928,27
856714,Declan Rice,MID,2425,PL,England,4,7,53,7,0,7.36,29.464,36
155995,Marquinhos,DEF,2425,L1,France,2,0,30,5,0,7.29,17.928,33
152077,John Stones,DEF,2425,PL,England,2,0,6,1,0,6.88,29.464,17
151545,Virgil van Dijk,DEF,2425,PL,England,3,1,38,14,0,7.28,29.464,32
823984,Lautaro Martínez,FWD,2425,SerieA,Italy,12,3,30,4,0,7.2,21.875,39
883537,Luis Díaz,MID,2425,PL,England,13,5,39,4,0,7.23,29.464,20
954056,Nico González,MID,2425,PL,England,1,0,16,3,0,6.91,29.464,5
892141,Santiago Giménez,FWD,2425,SerieA,Italy,5,2,5,0,0,6.73,21.875,27
826643,Kylian Mbappé,FWD,2425,LaLiga,Spain,31,3,8,5,0,7.7,23.892,33
843665,Alphonso Davies,DEF,2425,Bund,Germany,1,2,30,6,0,7.24,18.421,34
886242,Jakub Moder,MID,2425,PL,England,0,0,1,0,0,6.63,29.464,9
934386,Jérémy Doku,MID,2425,PL,England,3,6,31,3,0,7.29,29.464,5
581310,David Raya,GK,2425,PL,England,0,0,0,13,86,7.04,29.464,34
100390,Marco Bizot,GK,2425,L1,France,0,0,2,10,77,7.02,17.928,18
831808,Federico Valverde,MID,2425,LaLiga,Spain,6,4,50,11,0,7.47,23.892,18
786259,Kostas Tsimikas,DEF,2425,PL,England,0,1,31,2,0,7.01,29.464,4
862967,Cody Gakpo,FWD,2425,PL,England,10,4,28,1,0,7.19,29.464,16
935564,Jonathan David,FWD,2425,L1,France,16,5,24,5,0,7.18,17.928,35
826215,Ibrahima Konaté,DEF,2425,PL,England,1,2,40,11,0,7.08,29.464,23
