sofa_id,name,pos,dom_season,ucl_season,league,country,dom_g,dom_a,dom_tk,dom_cs,dom_sv,dom_rt,league_strength,target_ucl_fantasy_pts
293519,Leroy Sané,MID,2223,2324,Bund,Germany,8,7,38,2,0,6.87,17.125,17
835600,Davide Frattesi,MID,2223,2324,SerieA,Italy,7,0,63,3,0,6.9,22.357,16
831808,Federico Valverde,MID,2223,2324,LaLiga,Spain,7,4,31,6,0,7.25,16.571,14
187205,Milan Škriniar,DEF,2223,2324,SerieA,Italy,0,0,29,8,0,6.77,22.357,18
566102,Davinson Sánchez,DEF,2223,2324,PL,England,0,0,24,2,0,6.76,23.0,8
319129,Luka Jović,FWD,2223,2324,SerieA,Italy,6,3,6,2,0,6.8,22.357,0
866469,Bruno Guimarães,MID,2223,2324,PL,England,4,5,78,9,0,7.17,23.0,8
308182,Ivan Provedel,GK,2223,2324,SerieA,Italy,0,0,1,21,100,7.11,22.357,25
142622,Antonio Rüdiger,DEF,2223,2324,LaLiga,Spain,1,0,18,10,0,6.85,16.571,21
138605,Piotr Zieliński,MID,2223,2324,SerieA,Italy,3,8,17,1,0,7.14,22.357,6
787505,Benjamin Pavard,DEF,2223,2324,Bund,Germany,4,1,70,9,0,7.36,17.125,10
