Id,Name,Position,Price,TotalPts,Team
250202843,E. Garnier,MID,5.0,0,52277
250113276,J. Frimpong,DEF,5.0,1,7889
250110583,I. Lepinjica,MID,5.0,0,2609356
250113001,R. Gravenberch,MID,5.0,2,7889
250177928,J. Jacquet,DEF,5.0,3,7889
250163153,M. Kerkez,DEF,5.0,3,7889
250118131,Joan García,GK,5.0,2,50080
250210296,A. Yirajang,FWD,5.0,0,52797
250042209,V. Simić,MID,5.0,0,2609356
250025791,B. André,MID,5.0,2,75797
250197958,M. Bayo,FWD,5.0,0,75797
250199046,R. Labeau Lascary,FWD,5.0,0,52277
250014109,J. Mário,FWD,5.0,0,50129
250193624,André Miranda,MID,5.0,0,50064
250188518,N. Edjouma,MID,5.0,0,75797
108501,W. Szczęsny,GK,5.0,0,50080
250168211,T. Bischof,MID,5.0,0,50037
250062684,G. Perrin,MID,5.0,5,75797
250117708,A. Onana,MID,5.0,0,52683
250198318,Duarte Cunha,MID,5.0,0,50064
250204916,Mateus Mide,MID,5.0,0,50064
250127436,R. Aït-Nouri,DEF,5.0,4,52919
250088106,S. Lammers,FWD,5.0,0,50062
250128120,A. Davies,DEF,5.0,0,50037
250190224,K. Neijenhuis,FWD,5.0,0,52749
250145803,Matheus Nunes,DEF,5.0,6,52919
250182702,C. Obi,FWD,5.0,0,52682
250165221,N. O’Reilly,DEF,5.0,0,52919
250199590,I. Onunta,FWD,5.0,0,52749
250151632,G. Ambrosino,FWD,5.0,0,50136
250187184,D. Nene,FWD,5.0,0,52692
250041563,M. Škriniar,DEF,5.0,0,52692
250200578,J. Zinhagel,MID,5.0,0,52749
250099054,L. Bailey,MID,5.0,0,52683
250178823,P. Dorgu,DEF,5.0,0,52682
250065413,K. Laimer,DEF,5.0,0,50037
250218399,A. Nahany,MID,5.0,0,52749
250216080,J. Schaken,MID,5.0,0,52749
250075007,H. Maguire,DEF,5.0,0,52682
250165175,K. Mainoo,MID,5.0,0,52682
250086987,F. Anguissa,MID,5.0,0,50136
250213748,T. Thompson,MID,5.0,0,52682
250213093,H. Chooly,MID,5.0,0,59333
250064229,G. Di Lorenzo,DEF,5.0,3,50136
250163777,A. Pavlović,MID,5.0,0,50037
250191448,A. Bouaddi,MID,5.0,4,52919
250121175,J. Cajuste,MID,5.0,0,50136
250110724,J. Lindstrøm,MID,5.0,0,50136
250164476,L. Lucca,FWD,5.0,0,50136
250189858,Daniel Yañez,MID,5.0,0,50051
250055660,J. Tah,DEF,5.0,0,50037
250180810,J. Malanga,MID,5.0,0,50107
250225251,M. Robberechts,MID,5.0,0,50043
250221088,Alysson,MID,5.0,1,52683
250165363,A. Vergara,FWD,5.0,1,50136
250192609,Dro Fernández,MID,5.0,6,52747
250118957,J. Kadile,MID,5.0,0,52277
250212724,M. Cardozo,MID,5.0,0,50037
250064064,Marquinhos,DEF,5.0,0,52747
250177597,S. Mayulu,MID,5.0,1,52747
250177602,Q. Ndjantou,FWD,5.0,0,52747
250224184,B. Assomo,FWD,5.0,0,50037
250153849,W. Zaïre-Emery,MID,5.0,0,52747
250200525,E. Bajraktarević,FWD,5.0,0,50062
250112998,S. Dest,DEF,5.0,0,50062
250169276,C. Chukwuemeka,MID,5.0,1,52758
250169206,K. Aliyev,MID,5.0,0,2609356
250104534,D. Man,FWD,5.0,0,50062
250217981,P. Krapf,FWD,5.0,0,63405
250223432,M. Hartl,FWD,5.0,0,63405
250194007,J. Bisiwu,MID,5.0,0,50080
250224881,N. Kane,FWD,5.0,0,63405
250218236,Rodrigo Rodrigues,MID,5.0,0,50149
250192702,J. Derry,MID,5.0,0,50149
250026751,A. Pléa,FWD,5.0,0,50062
250090719,G. Nilsson,FWD,5.0,0,50043
250200715,S. Inacio,FWD,5.0,0,52758
250069832,G. Kobel,GK,5.0,2,52758
250171161,E. Banzuzi,FWD,5.0,0,2603790
250221087,R. Cardoso,FWD,5.0,0,2603790
250193528,B. Zaragoza,FWD,5.0,0,50037
250139387,A. Ibrahimović,MID,5.0,0,50037
250203364,N. Fuglestad,MID,5.0,0,52319
250183342,T. Gomis,FWD,5.0,0,2603790
250042773,S. Fofana,MID,5.0,1,50064
250102068,E. Botheim,FWD,5.0,1,52319
250091841,E. Elmas,MID,5.0,0,2603790
250206586,A. Arena,FWD,5.0,0,50137
250187899,C. Harder,FWD,5.0,0,2603790
250102420,C. Ngonge,FWD,5.0,0,50136
250134856,N. Schlotterbeck,DEF,5.0,0,52758
250170137,A. Ouedraogo,MID,5.0,0,2603790
250144303,R. Reitz,MID,5.0,0,2603790
250200654,S. Suleiman,FWD,5.0,0,2603790
250200748,J. Virgili,MID,5.0,4,50043
250201719,S. Diaoune,MID,5.0,0,75797
250064446,O. Zubkov,FWD,5.0,0,50129
250091722,B. Kamara,MID,5.0,3,52683
250201731,Y. Lachaab,MID,4.5,0,2609356
250113392,R. Calafiori,DEF,4.5,0,52280
250163454,P. Hincapié,DEF,4.5,8,52280
250181082,M. Lewis-Skelly,DEF,4.5,0,52280
250224146,Bruninho,MID,4.5,0,52707
250169376,M. Cash,DEF,4.5,0,52683
250211683,Ryan Roberto,MID,4.5,0,52707
250055905,V. Lindelöf,DEF,4.5,2,52683
250117581,I. Maatsen,DEF,4.5,1,52683
250133856,T. Mings,DEF,4.5,0,52683
250088461,Pau Torres,DEF,4.5,8,52683
250150915,J. Cardoso,MID,4.5,0,50124
250092668,D. Hancko,DEF,4.5,2,50124
250112513,R. Le Normand,DEF,4.5,1,50124
250135416,A. Balde,DEF,4.5,0,50080
250190383,M. Bernal,MID,4.5,2,50080
250176861,D. Smetana,MID,4.5,0,52707
250041718,A. Christensen,DEF,4.5,4,50080
250103561,Eric García,DEF,4.5,0,50080
250014002,L. Digne,DEF,4.5,1,52747
250127239,M. Ruggeri,DEF,4.5,0,52683
250162325,Minjae Kim,DEF,4.5,0,50037
250112220,J. Stanišić,DEF,4.5,0,50037
250153936,J. Urbig,GK,4.5,0,50037
250101238,W. Anton,DEF,4.5,3,52758
250119677,R. Bensebaini,DEF,4.5,0,52758
250174737,A. Meyer,GK,4.5,0,52758
250156423,D. Svensson,DEF,4.5,2,52758
250130405,L. Audoor,MID,4.5,0,50043
250135248,C. Sandra,MID,4.5,0,50043
250185093,A. Granados,MID,4.5,0,50043
250201806,T. Koren,MID,4.5,0,50043
250160006,F. Lemarechal,MID,4.5,1,50043
250053044,B. Mechele,DEF,4.5,2,50043
250104207,F. Bjørkan,DEF,4.5,0,59333
250186245,A. Mikkelsen,MID,4.5,0,59333
250063509,L. Milla,MID,4.5,0,79946
250176201,J. Ordoñez,DEF,4.5,0,50043
250189213,V. Nielsen,DEF,4.5,0,59333
250138997,M. Riisnæs,MID,4.5,0,59333
250163786,J. Seys,DEF,4.5,1,50043
97746,Y. Sommer,GK,4.5,2,50043
250172155,C. Tsawa,MID,4.5,1,50043
250141867,U. Saltnes,MID,4.5,0,59333
250017824,E. Can,DEF,4.5,0,52758
250074004,J. Butez,GK,4.5,0,79946
250194327,A. Lahdo,MID,4.5,0,79946
250174182,Alberto Costa,DEF,4.5,2,50064
